measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status
20250109173311.832107_AR_webconnectivity_8f31801ec30b38dd,https:911truth.org/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109173152.197184_AR_webconnectivity_aff7b522d5ece105,https://alpha66.org/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109172551.691844_AR_webconnectivity_e6fa9465acb3da15,http://www.cubamemorial.net/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109172422.352895_AR_webconnectivity_7a05eddd5bc338bc,https://www.miscelaneasdecuba.net/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109172421.394996_AR_webconnectivity_50f9219658a6749a,http://www.miscelaneasdecuba.net/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109172417.012912_AR_webconnectivity_0a8eb7f909693bf2,http://miscelaneasdecuba.net/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109172415.914178_AR_webconnectivity_538892e667861cc8,https://miscelaneasdecuba.net/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171808.052949_AR_webconnectivity_14e396b6a7b68941,http://en-ville.orange.fr/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171806.488249_AR_webconnectivity_d8f6cfa1e4a6d3c6,https://example.domain.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171805.484169_AR_webconnectivity_0595ec92523388d3,http://docs.domain.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171804.304329_AR_webconnectivity_213e79589fbe7b4a,https://archivos.domain.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171803.252162_AR_webconnectivity_2856089a8e4cb8b8,http://www.sedem.org.gt/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171755.367980_AR_webconnectivity_3230e512a332483c,http://www.frmt.org/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171751.764413_AR_webconnectivity_9a64ac2b7d0ca995,http://extratorrent.cc,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171750.842065_AR_webconnectivity_670ab986fe0d4ec7,http://www.serpaj.org,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171749.204228_AR_webconnectivity_6b8d9914e0944386,http://www.metacafe.com,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171745.508398_AR_webconnectivity_d85b7456b5412a95,http://www.atimes.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171743.906247_AR_webconnectivity_f8aa5ce6faac50d7,http://www.asstr.org/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171722.488594_AR_webconnectivity_28583a1dac426015,http://bitcoin.sipa.be/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,200,,
20250109171556.714203_AR_webconnectivity_b982fb4b226ca221,http://www.topcities.com,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171532.498395_AR_webconnectivity_c1dc36c58d6ca1f9,http://www.elmundo.com.ve,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171527.699318_AR_webconnectivity_6cecda949d13b9af,http://www.religioustolerance.org,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171525.773150_AR_webconnectivity_7363f4515f239569,http://www.wikispaces.com,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171524.570931_AR_webconnectivity_19541c19230e7f3e,http://check.googlezip.net/connect/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171523.848946_AR_webconnectivity_cb3e369885657436,http://check.googlezip.net/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171522.584859_AR_webconnectivity_a81cdb0336823e93,http://bloquedearmas.com,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171521.610816_AR_webconnectivity_8e77f93e8c5bc918,https://extratorrent.cc/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171520.016892_AR_webconnectivity_7d15f4728995a8be,http://www.topcities.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171419.702260_AR_webconnectivity_6f80f7af57e9ba50,https://rates.airtm.io,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171418.862995_AR_webconnectivity_08591cd743ee8649,http://diariodecaracas.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171417.852388_AR_webconnectivity_af2f7d71cba5b359,https://w3.ibm.com/developer/hacktoberfest/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171416.949575_AR_webconnectivity_2f5eaa67532490cb,https://www.patria.org.ve/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171131.000313_AR_webconnectivity_11a365280eecb0b8,https://thepiratebay.se,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171129.463469_AR_webconnectivity_dba50a9aa1024d83,http://www.fgmnetwork.org,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171035.267280_AR_webconnectivity_f99bce8b415b9f4e,http://www.kazaa.com,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109171031.740233_AR_webconnectivity_b88e5948a68578d8,http://shareaza.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109170757.868226_AR_webconnectivity_4c912156fd827d72,http://www.malware.com,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109170752.393427_AR_webconnectivity_67fc0dc4416a867e,http://use-application-dns.net/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,200,,
20250109170748.861105_AR_webconnectivity_8dd316853d4611dd,http://www.diariouno.net.ar/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109170747.555068_AR_webconnectivity_f3ed142c9b218036,https://premiumhentaiclub.co/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109170623.373942_AR_webconnectivity_0b5e9304b9c7be3d,http://www.mapuchenative.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109170615.416637_AR_webconnectivity_eb338a12aa22eeb7,https://tamtam.chat/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,200,,
20250109165601.822866_AR_webconnectivity_72d89b4594306987,http://www.diarioextra.com.ar/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109165530.510497_AR_webconnectivity_c8a85ec30360c66b,http://clarin.com.ar/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109165350.481326_AR_webconnectivity_9d4bcfc7e945fdcc,https://mail.ru/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,200,,
20250109164905.954079_AR_webconnectivity_5eb90d7824f5c13e,http://www.serpaj.org/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109164850.893750_AR_webconnectivity_7db79e0120de0609,http://www.diarioaccion.com.ar/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109164827.213812_AR_webconnectivity_459565ad17e0f476,http://www.agendadelasmujeres.com.ar/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109160623.423811_AR_webconnectivity_b26715f5e9847dd5,http://www.cencoex.gob.ve/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109160336.344362_AR_webconnectivity_78101241e8a9e5ba,https://pwchyt.awsvpni.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109160306.373430_AR_webconnectivity_fc703efd0b23f142,https://mariacorinamundo.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109160300.242547_AR_webconnectivity_952320b1f7cbd0a0,https://comanditos.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109160259.402439_AR_webconnectivity_77bc13a1283e1d99,http://notiviasve.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109160257.646098_AR_webconnectivity_e846d4caf2d0e51c,https://ooni.cloudflare-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109160244.578968_AR_webconnectivity_3fd092921ae24b8a,http://cantv.net/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109160227.267388_AR_webconnectivity_02d32d83b3c9df78,https://cloudapp.net,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109160226.002751_AR_webconnectivity_b156e0f890dc8263,https://blob.core.windows.net/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109160225.041334_AR_webconnectivity_67175196b2fdfcb0,https://azurewebsites.net,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109160055.635550_AR_webconnectivity_0665aa34c5ba47c3,https://pelisplus.me/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109155642.704424_AR_webconnectivity_6d08ca3b7e9c78a2,https://vamosganar.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109155542.081268_AR_webconnectivity_fe1916f486909733,https://www.mariacorinapresidente.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109155508.932923_AR_webconnectivity_79e67eed078fa6e8,https://cdninstagram.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109155456.830707_AR_webconnectivity_7aa6a47ff443ad90,http://www.cne.gob.ve/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109155254.117771_AR_webconnectivity_68e1118ce8b2630a,https://surbitcoin.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109155125.520939_AR_webconnectivity_88b691a6ef822376,http://www.teenhealthfx.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,200,,
20250109154310.786871_AR_webconnectivity_dfa1251db1b2bd58,http://partidounnuevotiempo.org/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109154217.988836_AR_webconnectivity_da94caa0634245e7,https://www.match.com/,,ssl_invalid_hostname,inconsistent,False,AS262287,173.244.55.130,200,208.83.242.43,"{'blocked': False, 'failure': None, 'success': True}"
20250109154143.823599_AR_webconnectivity_c178c7b75f91ff12,https://primariaexteriorve.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109154048.496106_AR_webconnectivity_df5eb0c48c3d663f,http://primariaexteriorve.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109153424.419550_AR_webconnectivity_fd9bef58c1944e41,https://use-application-dns.net/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,200,,
20250109152509.082018_AR_webconnectivity_2ac808277e2f47fd,https://d3l0kqj5h9z9zs.cloudfront.net/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109152451.223728_AR_webconnectivity_e8c60690a7166e12,http://www.museomarino.com/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,403,,
20250109142337.738492_AR_webconnectivity_0bc4d21b053477be,https://www.shadowbet.com,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,200,,
20250109132159.527968_AR_webconnectivity_78d15d37893cf581,https://tvhd.pe/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109125025.783423_AR_webconnectivity_899d419fd343bd5f,https://www.ragingbullcampaign.com,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109124811.875403_AR_webconnectivity_d73870540b417f0d,http://www.ragingbullcampaign.com,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
20250109124023.501195_AR_webconnectivity_165326d5a490561c,http://www.appzplanet.com/,,,inconsistent,False,AS262287,173.244.55.130,200,185.107.56.55,"{'blocked': False, 'failure': None, 'success': True}"
20250109123325.160245_AR_webconnectivity_a7fce87126cd72c3,https://www.lgbtimontevideo2016.org/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,200,,
20250109123004.251205_AR_webconnectivity_7aed2b93307c8d31,http://www.mnr.gov.cn/,android_dns_cache_no_data,,inconsistent,False,AS262287,173.244.55.130,-1,,
